# Scryfall Tagger function-tag catalog (source: Tagger GraphQL API)
# Tag type: ORACLE_CARD_TAG (function / otag: search filter)
# Total reported by Tagger: 4524; slugs written here: 4524
# Format: <slug>\t<name>, sorted by slug.
# Note: `cycle-*` slugs are Tagger's internal per-set bookkeeping and are
#       usually NOT useful for card search.
40k-model	40k model
cycle-spm-color-coded-artifact	cycle-spm-color-coded-artifact
cycle-spm-draft-signpost	cycle-spm-draft-signpost
cycle-spm-r-hybrid	cycle-spm-r-hybrid
cycle-spm-r-two-color	cycle-spm-r-two-color
cycle-spm-saga	cycle-spm-saga
cycle-spm-surveil-dual	cycle-spm-surveil-dual
cycle-spm-tmdfc	cycle-spm-tmdfc
cycle-spm-u-hybrid	cycle-spm-u-hybrid
cycle-sth-allied-sliver	cycle-sth-allied-sliver
cycle-sth-licid	cycle-sth-licid
cycle-sth-wall	cycle-sth-wall
cycle-stormscape-vertical	cycle-stormscape-vertical
cycle-stx-a-a-b-b	cycle-stx-a{a/b}b
cycle-stx-apprentice	cycle-stx-apprentice
cycle-stx-c-2c-creature	cycle-stx-c-2c-creature
cycle-stx-c-2c-noncreature	cycle-stx-c-2c-noncreature
cycle-stx-c-hybrid-spell	cycle-stx-c-hybrid-spell
cycle-stx-campus	cycle-stx-campus
cycle-stx-command	cycle-stx-command
cycle-stx-dean	cycle-stx-dean
cycle-stx-double-keyword	cycle-stx-double-keyword
cycle-stx-draft-signpost	cycle-stx-draft-signpost
cycle-stx-dragon-founder	cycle-stx-dragon-founder
cycle-stx-hhhh	cycle-stx-hhhh
cycle-stx-m-college-spell	cycle-stx-m-college-spell
cycle-stx-m-mdfc	cycle-stx-m-mdfc
cycle-stx-mastery	cycle-stx-mastery
cycle-stx-pledgemage	cycle-stx-pledgemage
cycle-stx-r-learner	cycle-stx-r-learner
cycle-stx-r-lesson	cycle-stx-r-lesson
cycle-stx-r-mdfc	cycle-stx-r-mdfc
cycle-stx-reveal-land	cycle-stx-reveal-land
cycle-stx-student	cycle-stx-student
cycle-stx-summoning	cycle-stx-summoning
cycle-stx-treasure-spell	cycle-stx-treasure-spell
cycle-stx-u-lesson	cycle-stx-u-lesson
cycle-stx-u-mono-magecraft	cycle-stx-u-mono-magecraft
cycle-sunscape-vertical	cycle-sunscape-vertical
cycle-sword-ally-color	cycle-sword-ally-color
cycle-sword-enemy-color	cycle-sword-enemy-color
cycle-talisman	cycle-talisman
cycle-tangoland	cycle-tangoland
cycle-tbng-inspired-token	cycle-tbng-inspired-token
cycle-tdc-alt-commander	cycle-tdc-alt-commander
cycle-tdc-face-commander	cycle-tdc-face-commander
cycle-tdc-will	cycle-tdc-will
cycle-tdm-c-behold	cycle-tdm-c-behold
cycle-tdm-c-omen	cycle-tdm-c-omen
cycle-tdm-c-twobrid	cycle-tdm-c-twobrid
cycle-tdm-devotee	cycle-tdm-devotee
cycle-tdm-draft-signpost	cycle-tdm-draft-signpost
cycle-tdm-dragonstorm	cycle-tdm-dragonstorm
cycle-tdm-khan	cycle-tdm-khan
cycle-tdm-m-clan-spell	cycle-tdm-m-clan-spell
cycle-tdm-monument	cycle-tdm-monument
cycle-tdm-r-dragon	cycle-tdm-r-dragon
cycle-tdm-r-tricolor	cycle-tdm-r-tricolor
cycle-tdm-saga	cycle-tdm-saga
cycle-tdm-siege	cycle-tdm-siege
cycle-tdm-spirit-dragon	cycle-tdm-spirit-dragon
cycle-tdm-u-omen	cycle-tdm-u-omen
cycle-tdm-u-twobrid	cycle-tdm-u-twobrid
cycle-tdm-u-wedge-dragon	cycle-tdm-u-wedge-dragon
cycle-tdm-u-wedge-nondragon	cycle-tdm-u-wedge-nondragon
cycle-tdm-utility-land	cycle-tdm-utility-land
cycle-thb-c-removal-aura	cycle-thb-c-removal-aura
cycle-thb-demigod	cycle-thb-demigod
cycle-thb-draft-signpost	cycle-thb-draft-signpost
cycle-thb-intervention	cycle-thb-intervention
cycle-thb-monocolor-god	cycle-thb-monocolor-god
cycle-thb-nymph	cycle-thb-nymph
cycle-thb-nyxborn	cycle-thb-nyxborn
cycle-thb-omen	cycle-thb-omen
cycle-thb-r-m-saga	cycle-thb-r-m-saga
cycle-thb-r-m-two-color	cycle-thb-r-m-two-color
cycle-thb-u-saga	cycle-thb-u-saga
cycle-thornscape-vertical	cycle-thornscape-vertical
cycle-ths-c-allied-ability	cycle-ths-c-allied-ability
cycle-ths-c-enemy-ability	cycle-ths-c-enemy-ability
cycle-ths-cantrip-aura	cycle-ths-cantrip-aura
cycle-ths-double-tactics	cycle-ths-double-tactics
cycle-ths-draft-signpost	cycle-ths-draft-signpost
cycle-ths-emissary	cycle-ths-emissary
cycle-ths-god-weapon	cycle-ths-god-weapon
cycle-ths-major-god	cycle-ths-major-god
cycle-ths-nymph	cycle-ths-nymph
cycle-ths-ordeal	cycle-ths-ordeal
cycle-ths-r-two-color	cycle-ths-r-two-color
cycle-ths-self-hate	cycle-ths-self-hate
cycle-thunderscape-vertical	cycle-thunderscape-vertical
cycle-tkhm-realm-token	cycle-tkhm-realm-token
cycle-tla-ascension	cycle-tla-ascension
cycle-tla-basic-count	cycle-tla-basic-count
cycle-tla-bending-lesson	cycle-tla-bending-lesson
cycle-tla-c-hybrid	cycle-tla-c-hybrid
cycle-tla-c-tapland	cycle-tla-c-tapland
cycle-tla-draft-signpost	cycle-tla-draft-signpost
cycle-tla-landcycler	cycle-tla-landcycler
cycle-tla-m-saga	cycle-tla-m-saga
cycle-tla-r-two-color	cycle-tla-r-two-color
cycle-tla-shrine	cycle-tla-shrine
cycle-tla-u-hybrid	cycle-tla-u-hybrid
cycle-tla-u-two-color	cycle-tla-u-two-color
cycle-tla-utility-land	cycle-tla-utility-land
cycle-tla-vertical-aang	cycle-tla-vertical-aang
cycle-tle-bending-master	cycle-tle-bending-master
cycle-tlrw-typal-token	cycle-tlrw-typal-token
cycle-tmc-character-select	cycle-tmc-character-select
cycle-tmc-face-commander	cycle-tmc-face-commander
cycle-tmc-m-turtle	cycle-tmc-m-turtle
cycle-tmc-teamup	cycle-tmc-teamup
cycle-tmp-c-sliver	cycle-tmp-c-sliver
cycle-tmp-enemy-backward-hate	cycle-tmp-enemy-backward-hate
cycle-tmp-enemy-forward-hate	cycle-tmp-enemy-forward-hate
cycle-tmp-licid	cycle-tmp-licid
cycle-tmp-medallion	cycle-tmp-medallion
cycle-tmp-napland	cycle-tmp-napland
cycle-tmp-pain-tapland	cycle-tmp-pain-tapland
cycle-tmp-r-two-color	cycle-tmp-r-two-color
cycle-tmp-u-sliver	cycle-tmp-u-sliver
cycle-tmp-u-two-color	cycle-tmp-u-two-color
cycle-tmt-avatar-vertical	cycle-tmt-avatar-vertical
cycle-tmt-c-hybrid	cycle-tmt-c-hybrid
cycle-tmt-class	cycle-tmt-class
cycle-tmt-donatello-vertical	cycle-tmt-donatello-vertical
cycle-tmt-draft-signpost	cycle-tmt-draft-signpost
cycle-tmt-enemy-ability	cycle-tmt-enemy-ability
cycle-tmt-gainland	cycle-tmt-gainland
cycle-tmt-landcycler	cycle-tmt-landcycler
cycle-tmt-leonardo-vertical	cycle-tmt-leonardo-vertical
cycle-tmt-michelangelo-vert	cycle-tmt-michelangelo-vert
cycle-tmt-r-hybrid	cycle-tmt-r-hybrid
cycle-tmt-r-technique	cycle-tmt-r-technique
cycle-tmt-raphael-vertical	cycle-tmt-raphael-vertical
cycle-tmt-signpost-legend	cycle-tmt-signpost-legend
cycle-tmt-signpost-noncreature	cycle-tmt-signpost-noncreature
cycle-tmt-team-up	cycle-tmt-team-up
cycle-tmt-u-equipment	cycle-tmt-u-equipment
cycle-tmt-u-technique	cycle-tmt-u-technique
cycle-tor-black-dreams	cycle-tor-black-dreams
cycle-tor-c-flashback	cycle-tor-c-flashback
cycle-tor-c-madness	cycle-tor-c-madness
cycle-tor-disorder-enchantment	cycle-tor-disorder-enchantment
cycle-tor-possessed-creature	cycle-tor-possessed-creature
cycle-tor-r-dreams	cycle-tor-r-dreams
cycle-tor-red-punisher	cycle-tor-red-punisher
cycle-tor-tainted-land	cycle-tor-tainted-land
cycle-tor-threshold-etb	cycle-tor-threshold-etb
cycle-tor-u-madness	cycle-tor-u-madness
cycle-tr-mage	cycle-tr-mage
cycle-triland	cycle-triland
cycle-triple-one-drop	cycle-triple-one-drop
cycle-triple-tapland	cycle-triple-tapland
cycle-trk-landcycler	cycle-trk-landcycler
cycle-tsp-addendum	cycle-tsp-addendum
cycle-tsp-allied-sliver	cycle-tsp-allied-sliver
cycle-tsp-c-sliver	cycle-tsp-c-sliver
cycle-tsp-flash-aura	cycle-tsp-flash-aura
cycle-tsp-forward-flashback	cycle-tsp-forward-flashback
cycle-tsp-m-suspend-creature	cycle-tsp-m-suspend-creature
cycle-tsp-magus	cycle-tsp-magus
cycle-tsp-no-mana-cost-suspend	cycle-tsp-no-mana-cost-suspend
cycle-tsp-perpetual-aura	cycle-tsp-perpetual-aura
cycle-tsp-r-buyback	cycle-tsp-r-buyback
cycle-tsp-r-morph-creature	cycle-tsp-r-morph-creature
cycle-tsp-r-sliver	cycle-tsp-r-sliver
cycle-tsp-r-split-second	cycle-tsp-r-split-second
cycle-tsp-spellshaper	cycle-tsp-spellshaper
cycle-tsp-storage-land	cycle-tsp-storage-land
cycle-tsp-time-removal	cycle-tsp-time-removal
cycle-tsp-totem	cycle-tsp-totem
cycle-tsp-two-color-legend	cycle-tsp-two-color-legend
cycle-tsp-u-sliver	cycle-tsp-u-sliver
cycle-tsp-u-split-second	cycle-tsp-u-split-second
cycle-tstx-mascot	cycle-tstx-mascot
cycle-uds-growing-enchantment	cycle-uds-growing-enchantment
cycle-uds-lobotomy-spell	cycle-uds-lobotomy-spell
cycle-uds-scent	cycle-uds-scent
cycle-uds-seer	cycle-uds-seer
cycle-ugl-double-spell	cycle-ugl-double-spell
cycle-ugl-multiplayer	cycle-ugl-multiplayer
cycle-ugl-rock-paper-scissors	cycle-ugl-rock-paper-scissors
cycle-ulg-creatureland	cycle-ulg-creatureland
cycle-ulg-perpetual-aura	cycle-ulg-perpetual-aura
cycle-ulg-sleeping-enchantment	cycle-ulg-sleeping-enchantment
cycle-ulg-vertical-phyrexian	cycle-ulg-vertical-phyrexian
cycle-un-psychographics	cycle-un-psychographics
cycle-und-enemy-colored-legend	cycle-und-enemy-colored-legend
cycle-unf-c-blank	cycle-unf-c-blank
cycle-unf-c-employee	cycle-unf-c-employee
cycle-unf-draft-signpost	cycle-unf-draft-signpost
cycle-unf-etb-attraction	cycle-unf-etb-attraction
cycle-unf-i-spy	cycle-unf-i-spy
cycle-unf-myra-s-marvels	cycle-unf-myra's-marvels
cycle-unf-single-sticker	cycle-unf-single-sticker
cycle-unf-sticker-activation	cycle-unf-sticker-activation
cycle-unf-stickered	cycle-unf-stickered
cycle-unf-u-blank	cycle-unf-u-blank
cycle-unh-c-gotcha	cycle-unh-c-gotcha
cycle-unh-donkey	cycle-unh-donkey
cycle-unh-minigame	cycle-unh-minigame
cycle-unh-u-gotcha	cycle-unh-u-gotcha
cycle-unk-devoted	cycle-unk-devoted
cycle-unk-vegas	cycle-unk-vegas
cycle-unspeakable	cycle-unspeakable
cycle-usg-2-cycling-land	cycle-usg-2-cycling-land
cycle-usg-embrace	cycle-usg-embrace
cycle-usg-enemy-backward-hate	cycle-usg-enemy-backward-hate
cycle-usg-enemy-forward-hate	cycle-usg-enemy-forward-hate
cycle-usg-enemy-hate	cycle-usg-enemy-hate
cycle-usg-legendary-land	cycle-usg-legendary-land
cycle-usg-perpetual-aura	cycle-usg-perpetual-aura
cycle-usg-r-growing-enchant	cycle-usg-r-growing-enchant
cycle-usg-rune-protection	cycle-usg-rune-protection
cycle-usg-u-growing-enchant	cycle-usg-u-growing-enchant
cycle-ust-dice-host	cycle-ust-dice-host
cycle-ust-flavor-variant	cycle-ust-flavor-variant
cycle-ust-functional-variant	cycle-ust-functional-variant
cycle-ust-m-contraption	cycle-ust-m-contraption
cycle-ust-outside-assistance	cycle-ust-outside-assistance
cycle-ust-u-watermark-matters	cycle-ust-u-watermark-matters
cycle-verge	cycle-verge
cycle-vis-charm	cycle-vis-charm
cycle-vis-chimera	cycle-vis-chimera
cycle-vis-enemy-backward-hate	cycle-vis-enemy-backward-hate
cycle-vis-karoo-land	cycle-vis-karoo-land
cycle-vma-draft-signpost	cycle-vma-draft-signpost
cycle-vma-r-two-color	cycle-vma-r-two-color
cycle-voc-soulbond	cycle-voc-soulbond
cycle-voice-angel	cycle-voice-angel
cycle-vow-c-typal-boost	cycle-vow-c-typal-boost
cycle-vow-cemetery	cycle-vow-cemetery
cycle-vow-draft-signpost	cycle-vow-draft-signpost
cycle-vow-enemy-cleave	cycle-vow-enemy-cleave
cycle-vow-m-tdfc	cycle-vow-m-tdfc
cycle-vow-r-two-color-legend	cycle-vow-r-two-color-legend
cycle-vow-slowland	cycle-vow-slowland
cycle-vow-typal-hate	cycle-vow-typal-hate
cycle-w16-r	cycle-w16-r
cycle-w16-u	cycle-w16-u
cycle-w17-r-creature	cycle-w17-r-creature
cycle-war-bond	cycle-war-bond
cycle-war-color-artifact	cycle-war-color-artifact
cycle-war-draft-signpost	cycle-war-draft-signpost
cycle-war-finale	cycle-war-finale
cycle-war-gatewatch	cycle-war-gatewatch
cycle-war-god	cycle-war-god
cycle-war-hybrid-planeswalker	cycle-war-hybrid-planeswalker
cycle-war-r-two-color	cycle-war-r-two-color
cycle-war-ravnican-legend	cycle-war-ravnican-legend
cycle-war-triumph	cycle-war-triumph
cycle-war-u-planeswalker	cycle-war-u-planeswalker
cycle-war-u-two-color-spell	cycle-war-u-two-color-spell
cycle-woc-court	cycle-woc-court
cycle-woe-boon	cycle-woe-boon
cycle-woe-draft-signpost	cycle-woe-draft-signpost
cycle-woe-r-2c-adventurer	cycle-woe-r-2c-adventurer
cycle-woe-r-two-color	cycle-woe-r-two-color
cycle-woe-restless-land	cycle-woe-restless-land
cycle-woe-u-2c-adventurer	cycle-woe-u-2c-adventurer
cycle-woe-u-saga	cycle-woe-u-saga
cycle-woe-virtue	cycle-woe-virtue
cycle-wth-sac-aura	cycle-wth-sac-aura
cycle-wwk-allied-land-bonus	cycle-wwk-allied-land-bonus
cycle-wwk-c-multikicker	cycle-wwk-c-multikicker
cycle-wwk-creatureland	cycle-wwk-creatureland
cycle-wwk-enemy-hate-trap	cycle-wwk-enemy-hate-trap
cycle-wwk-landfall-instant	cycle-wwk-landfall-instant
cycle-wwk-quest	cycle-wwk-quest
cycle-wwk-utilityland	cycle-wwk-utilityland
cycle-wwk-zendikon	cycle-wwk-zendikon
cycle-xln-c-explorer	cycle-xln-c-explorer
cycle-xln-dino-avatar	cycle-xln-dino-avatar
cycle-xln-draft-signpost	cycle-xln-draft-signpost
cycle-xln-keeper	cycle-xln-keeper
cycle-xln-legendary-transform	cycle-xln-legendary-transform
cycle-xln-m-legend	cycle-xln-m-legend
cycle-xln-sun-aspect	cycle-xln-sun-aspect
cycle-ylci-typal-seek	cycle-ylci-typal-seek
cycle-ymkm-incorporate	cycle-ymkm-incorporate
cycle-yneo-costs-2-less	cycle-yneo-costs-2-less
cycle-yotj-collector	cycle-yotj-collector
cycle-young-planeswalker	cycle-young-planeswalker
cycle-ywoe-little-pig	cycle-ywoe-little-pig
cycle-zen-ascension	cycle-zen-ascension
cycle-zen-c-growing-ally	cycle-zen-c-growing-ally
cycle-zen-c-kicker	cycle-zen-c-kicker
cycle-zen-expedition	cycle-zen-expedition
cycle-zen-fetchland	cycle-zen-fetchland
cycle-zen-landfall-self-pump	cycle-zen-landfall-self-pump
cycle-zen-namedland	cycle-zen-namedland
cycle-zen-quest	cycle-zen-quest
cycle-zen-r-ally	cycle-zen-r-ally
cycle-zen-refugeland	cycle-zen-refugeland
cycle-zen-strong-kicker	cycle-zen-strong-kicker
cycle-zen-u-ally	cycle-zen-u-ally
cycle-zen-utilityland	cycle-zen-utilityland
cycle-zendikar-creatureland	cycle-zendikar-creatureland
cycle-znc-face-commander	cycle-znc-face-commander
cycle-znr-boltland	cycle-znr-boltland
cycle-znr-draft-signpost	cycle-znr-draft-signpost
cycle-znr-expeditioner	cycle-znr-expeditioner
cycle-znr-inscription	cycle-znr-inscription
cycle-znr-m-mono-creature	cycle-znr-m-mono-creature
cycle-znr-m-mono-legend	cycle-znr-m-mono-legend
cycle-znr-multiclass-creature	cycle-znr-multiclass-creature
cycle-znr-pathway	cycle-znr-pathway
cycle-znr-r-mdfc	cycle-znr-r-mdfc
cycle-znr-relic	cycle-znr-relic
cycle-znr-two-color-legend	cycle-znr-two-color-legend
cycle-znr-u-mdfc-creature	cycle-znr-u-mdfc-creature
cycle-zodiac-creature	cycle-zodiac-creature
cycling-non-mana	cycling-non-mana
damage-increaser	damage increaser
damage-multiplier	damage multiplier
damage-prevention	damage prevention
damage-prevention-creature	damage prevention-creature
damage-prevention-permanent	damage prevention-permanent
damage-prevention-planeswalker	damage prevention-planeswalker
damage-prevention-player	damage prevention-player
damage-prevention-self	damage prevention-self
damage-prevention-you	damage prevention-you
damage-redirection	damage redirection
damage-stays	damage stays
daunt	daunt
day-night	day/night
day-zero-errata	day zero errata
deal-with-the-devil	deal with the devil
deanimate	deanimate
deanimate-self	deanimate self
death-trigger	death trigger
death-trigger-opponent	death trigger opponent
death-trigger-self	death trigger-self
deathtouch-counter	deathtouch counter
deathtouch-to-planeswalkers	deathtouch to planeswalkers
decayed-counter	decayed counter
deck-requirement	deck requirement
defector	defector
dehydration-with-set-mechanic	dehydration with set mechanic
delayed-cantrip	delayed cantrip
delayed-payment	delayed payment
delayed-replacement-effect	delayed replacement effect
delayed-trigger	delayed trigger
delve	delve
demilich-effect	demilich effect
depletion-land	depletion land
deprecated-card-types	deprecated card types
deprecated-legend-restriction	deprecated legend restriction
deprecated-legend-type	deprecated legend type
deprecated-mechanics	deprecated mechanics
deprecated-p-t-counter	deprecated p/t counter
deprecated-untapped-artifact	deprecated untapped artifact
deprecated-wall-restriction	deprecated wall restriction
detain	detain
devour	devour
dexterity	dexterity
dice-reroll	dice reroll
dice-roll	dice roll
differently-named-lands-matter	differently named lands matter
digital-only-mechanics	digital-only mechanics
digital-replacement	digital replacement
digital-to-paper	digital to paper
dilemma	dilemma
discard	discard
discard-matters	discard matters
discard-outlet	discard outlet
discard-outlet-artifact	discard outlet-artifact
discard-outlet-creature	discard outlet-creature
discard-outlet-land	discard outlet-land
discard-outlet-last-drawn	discard outlet-last drawn
discard-outlet-legendary	discard outlet-legendary
discard-outlet-nonland	discard outlet-nonland
discard-outlet-random	discard outlet-random
discard-symmetrical	discard-symmetrical
discard-to-exile	discard to exile
discard-to-library	discard to library
discard-with-set-s-mechanic	discard with set's mechanic
discarded-type-matters	discarded type matters
discount-self	discount-self
disenchant-naturalize	disenchant/naturalize
disintegrate	disintegrate
distinct-echo-cost	distinct echo cost
ditch-hand	ditch hand
divides-battlefield	divides battlefield
division	division
divvy	divvy
dnd	dnd
dnd-book	dnd book
dnd-character	dnd character
dnd-item	dnd item
dnd-mechanic	dnd mechanic
dnd-monster	dnd monster
dnd-spell	dnd spell
doctor-who-episode-name	doctor who episode name
doctor-who-episode-saga	doctor who episode saga
doesn-t-untap	doesn't untap
dolmen-ability	dolmen ability
donate	donate
donate-mana	donate mana
donate-rampant-growth	donate rampant growth
donate-token	donate token
doom-blade	doom blade
double-strike-counter	double strike counter
draft-matters	draft matters
draft-signpost	draft signpost
drain-creature	drain creature
drain-life	drain life
drain-strength	drain strength
draw	draw
draw-engine	draw engine
draw-hate	draw hate
draw-matters	draw matters
draw-to-seven	draw to seven
drawback	drawback
drawlink	drawlink
dual-land	dual land
earthbend	earthbend
earthquake	earthquake
eat-food	eat food
egg	egg
eldrazi-titan	eldrazi titan
embalm-token	embalm token
emblem-lite	emblem-lite
emerge	emerge
emerge-from-artifact	emerge-from-artifact
emerge-from-creature	emerge-from-creature
eminence	eminence
empty-library	empty library
enchantment-engine	enchantment engine
enchantmentfall	enchantmentfall
enchantmentize	enchantmentize
end-turn	end turn
energy-generator	energy generator
energy-increaser	energy increaser
enlarge	enlarge
enrage	enrage
enters-and-leaves-trigger-self	enters-and-leaves-trigger-self
enters-in-company	enters in company
eponymous	eponymous
eponymous-planeswalker	eponymous planeswalker
equipless-equipment	equipless equipment
etb-untapper	etb-untapper
eternalize	eternalize
eternalize-token	eternalize token
ethereal-armor	ethereal armor
evasion	evasion
even-odd-matters	even/odd matters
exalted	exalted
exalted-counter	exalted counter
exchange-control	exchange control
exchange-dice-roll	exchange dice roll
exhaust	exhaust
exile-on-resolution	exile on resolution
exile-self	exile-self
exile-self-dfc-transform	exile-self-dfc-transform
exile-with-tax	exile with tax
exiletouch	exiletouch
exo-storyline-in-cards	exo-storyline-in-cards
expansion-sweeper	expansion sweeper
expertise	expertise
explore-like	explore-like
exponential	exponential
external-prop	external prop
extra-combat-phase	extra combat phase
extra-draft	extra draft
extra-draw-step	extra draw step
extra-land	extra land
extra-turn	extra turn
extra-untap	extra untap
extra-upkeep	extra upkeep
extract	extract
face-commander	face-commander
face-up-face-down-effects	face-up-face-down-effects
fact-or-fiction	fact or fiction
fake-flying	fake flying
fallout-perk-name	fallout perk name
fallout-vault-saga	fallout vault saga
fateseal	fateseal
faux-targeting	faux targeting
ferocious	ferocious
fetchland	fetchland
filterland	filterland
fire-drake	fire drake
firebend-like	firebend-like
firebreathing	firebreathing
first-strike-counter	first strike counter
flagbearer	flagbearer
flavor-matters	flavor matters
flavor-text-matters	flavor text matters
flavors-of-vanilla	flavors of vanilla
flicker	flicker
flicker-artifact	flicker-artifact
flicker-creature	flicker-creature
flicker-enchantment	flicker-enchantment
flicker-land	flicker-land
flicker-nonenchantment	flicker-nonenchantment
flicker-nonland	flicker-nonland
flicker-permanent	flicker-permanent
flicker-planeswalker	flicker-planeswalker
flicker-self	flicker-self
flicker-slow	flicker-slow
flicker-vehicle	flicker-vehicle
fling	fling
fling-self	fling-self
flowstone	flowstone
flying-counter	flying counter
fog	fog
fog-selective	fog-selective
force-attacker	force attacker
force-blocker	force blocker
force-draw	force draw
forced-attacker	forced attacker
forestfall	forestfall
form	form
format-matters	format matters
formidable	formidable
four-loyalty-abilities	four loyalty abilities
four-plus-creature-types	four plus creature types
fourth-spell-matters	fourth spell matters
fractional-life-damage	fractional life/damage
fractional-power-toughness	fractional power/toughness
free-cast-another	free-cast-another
free-discard-outlet	free discard outlet
free-sacrifice-outlet	free sacrifice outlet
freeze	freeze
freeze-artifact	freeze-artifact
freeze-creature	freeze-creature
freeze-land	freeze-land
freeze-nonland	freeze-nonland
freeze-permanent-any	freeze-permanent-any
french-vanilla	french vanilla
french-vanilla-aura	french vanilla aura
french-vanilla-equipment	french vanilla equipment
french-vanilla-walker	french vanilla walker
front-card	front-card
frost-armor	frost armor
fulfilled-futureshift	fulfilled futureshift
full-refund	full refund
fun-ruling	fun ruling
functional-art	functional art
functional-reminder-counter	functional reminder counter
fungusaur-effect	fungusaur effect
future-sight-engine	future sight engine
gainland	gainland
gains-annihilator	gains annihilator
gains-banding	gains banding
gains-battle-cry	gains battle cry
gains-bushido	gains bushido
gains-cascade	gains cascade
gains-deathtouch	gains deathtouch
gains-defender	gains defender
gains-dethrone	gains dethrone
gains-double-strike	gains double strike
gains-exploit	gains exploit
gains-fear	gains fear
gains-firebending	gains firebending
gains-first-strike	gains first strike
gains-flash	gains flash
gains-flying	gains flying
gains-for-mirrodin	gains for mirrodin!
gains-forestwalk	gains forestwalk
gains-haste	gains haste
gains-hexproof	gains hexproof
gains-indestructible	gains indestructible
gains-infect	gains infect
gains-intimidate	gains intimidate
gains-islandwalk	gains islandwalk
gains-landwalk	gains landwalk
gains-lifelink	gains lifelink
gains-living-weapon	gains living weapon
gains-menace	gains menace
gains-mm-counters	gains mm counters
gains-mountainwalk	gains mountainwalk
gains-myriad	gains myriad
gains-pp-counters	gains pp counters
gains-protection	gains protection
gains-provoke	gains provoke
gains-prowess	gains prowess
gains-rampage	gains rampage
gains-reach	gains reach
gains-shadow	gains shadow
gains-shroud	gains shroud
gains-soulshift	gains soulshift
gains-split-second	gains split second
gains-suspend	gains suspend
gains-swampwalk	gains swampwalk
gains-toxic	gains toxic
gains-trample	gains trample
gains-umbra-armor	gains umbra armor
gains-undying	gains undying
gains-vanishing	gains vanishing
gains-vigilance	gains vigilance
gains-ward	gains ward
gains-wither	gains wither
gamble	gamble
game-name	game name
gatefall	gatefall
gatewatch-oath	gatewatch oath
gating	gating
gender-matters	gender matters
genesis-effect	genesis effect
giant-growth	giant growth
giant-growth-with-set-mechanic	giant growth with set mechanic
gifts-ungiven	gifts ungiven
gives-absorb	gives absorb
gives-adventure	gives adventure
gives-affinity	gives affinity
gives-afflict	gives afflict
gives-afterlife	gives afterlife
gives-annihilator	gives annihilator
gives-assist	gives assist
gives-banding	gives banding
gives-basic-landcycling	gives basic landcycling
gives-battle-cry	gives battle cry
gives-blitz	gives blitz
gives-bloodthirst	gives bloodthirst
gives-bushido	gives bushido
gives-cascade	gives cascade
gives-castable-from-exile	gives castable from exile
gives-castable-from-graveyard	gives castable from graveyard
gives-castable-from-library	gives castable from library
gives-castable-from-nonhand	gives castable from nonhand
gives-casualty	gives casualty
gives-changeling	gives changeling
gives-charge-counter	gives charge counter
gives-conspire	gives conspire
gives-convoke	gives convoke
gives-cumulative-upkeep	gives cumulative upkeep
gives-cycling	gives cycling
gives-daunt	gives daunt
gives-deathtouch	gives deathtouch
gives-deathtouch-noncreature	gives deathtouch noncreature
gives-decayed	gives decayed
gives-defender	gives defender
gives-delve	gives delve
gives-demonstrate	gives demonstrate
gives-dethrone	gives dethrone
gives-devoid	gives devoid
gives-devour	gives devour
gives-disguise	gives disguise
gives-double-strike	gives double strike
gives-double-team	gives double team
gives-drawlink	gives drawlink
gives-dredge	gives dredge
gives-echo	gives echo
gives-embalm	gives embalm
gives-emerge	gives emerge
gives-encore	gives encore
gives-epic	gives epic
gives-escape	gives escape
gives-evasion	gives evasion
gives-evoke	gives evoke
gives-evolve	gives evolve
gives-exalted	gives exalted
gives-exploit	gives exploit
gives-extort	gives extort
gives-fabricate	gives fabricate
gives-fake-flying	gives fake flying
gives-fear	gives fear
gives-firebending	gives firebending
gives-first-strike	gives first strike
gives-flanking	gives flanking
gives-flash	gives flash
gives-flashback	gives flashback
gives-flying	gives flying
gives-forestwalk	gives forestwalk
gives-foretell	gives foretell
gives-fossilize	gives fossilize
gives-freerunning	gives freerunning
gives-frenzy	gives frenzy
gives-harmonize	gives harmonize
gives-haste	gives haste
gives-hexproof	gives hexproof
gives-high-flying	gives high flying
gives-horsemanship	gives horsemanship
gives-improvise	gives improvise
gives-indestructible	gives indestructible
gives-infect	gives infect
gives-ingest	gives ingest
gives-intimidate	gives intimidate
gives-islandwalk	gives islandwalk
gives-jump-start	gives jump-start
gives-landwalk	gives landwalk
gives-lifelink	gives lifelink
gives-lifelink-noncreature	gives lifelink noncreature
gives-living-weapon	gives living weapon
gives-madness	gives madness
gives-mana-ability	gives mana ability
gives-mayhem	gives mayhem
gives-melee	gives melee
gives-menace	gives menace
gives-mentor	gives mentor
gives-miracle	gives miracle
gives-mm-counters	gives mm counters
gives-mobilize	gives mobilize
gives-modular	gives modular
gives-mountainwalk	gives mountainwalk
gives-myriad	gives myriad
gives-nimble	gives nimble
gives-ninjutsu	gives ninjutsu
gives-offspring	gives offspring
gives-outlast	gives outlast
gives-persist	gives persist
gives-phasing	gives phasing
gives-plainswalk	gives plainswalk
gives-player-ability	gives player ability
gives-player-hexproof	gives player hexproof
gives-player-protection	gives player protection
gives-player-shroud	gives player shroud
gives-plot	gives plot
gives-poisonous	gives poisonous
gives-pp-counters	gives pp counters
gives-pp-counters-to-all	gives pp counters to all
gives-protection	gives protection
